date,market,MACD,Signal Line,MACD Histogram,Signal
2022-05-31,1406.07,-124.20968203086045,-147.31071595266067,23.101033921800223,1
2022-06-01,1325.67,-116.27559137855724,-141.10369103783998,24.828099659282742,1
2022-06-02,1330.13,-108.3785620483643,-134.55866523994484,26.180103191580542,1
2022-06-03,1285.79,-104.4934414956681,-128.5456204910895,24.0521789954214,1
2022-06-04,1286.79,-100.17896309688149,-122.87228901224789,22.6933259153664,1
2022-06-05,1287.79,-95.57726106823793,-117.4132834234459,21.836022355207973,1
2022-06-06,1370.74,-84.26564539259698,-110.78375581727613,26.51811042467915,1
2022-06-07,1359.74,-75.32046906105393,-103.69109846603169,28.370629404977763,1
2022-06-08,1329.12,-69.89640818521752,-96.93216040986886,27.035752224651333,1
2022-06-09,1327.72,-64.96192848836336,-90.53811402556776,25.57618553720441,1
2022-06-10,1253.73,-66.2579124468009,-85.6820737098144,19.424161263013502,1
2022-06-11,1254.73,-66.43843648891834,-81.83334626563519,15.394909776716844,1
2022-06-12,1255.73,-65.74296744511912,-78.61527050153198,12.87230305641286,1
2022-06-13,968.84,-87.33468865074542,-80.35915413137468,-6.97553451937074,-1
2022-06-14,951.3,-104.65521451098539,-85.21836620729682,-19.436848303688564,-1
2022-06-15,956.78,-116.59562406517944,-91.49381777887335,-25.101806286306086,-1
2022-06-16,904.57,-128.78682102000153,-98.95241842709899,-29.834402592902535,-1
2022-06-17,897.67,-137.4210998761157,-106.64615471690234,-30.77494515921336,-1
2022-06-18,898.67,-142.5400237676456,-113.824928527051,-28.715095240594607,-1
2022-06-19,899.67,-144.84641685909878,-120.02922619346056,-24.817190665638222,-1
2022-06-20,900.67,-144.92297649645843,-125.00797625406014,-19.915000242398293,-1
2022-06-21,940.0,-140.19397932918798,-128.0451768690857,-12.148802460102274,-1
2022-06-22,902.19,-137.907454718601,-130.01763243898878,-7.889822279612218,-1
2022-06-23,946.26,-131.02886757676083,-130.2198794665432,-0.8089881102176264,-1
2022-06-24,998.49,-119.97995893199413,-128.1718953596334,8.191936427639263,1
2022-06-25,999.49,-109.87634151592908,-124.51278459089254,14.636443074963452,1
2022-06-26,1000.49,-100.62847782509846,-119.73592323773373,19.107445412635272,1
2022-06-27,968.23,-94.80968458783695,-114.75067550775438,19.940990919917425,1
2022-06-28,935.35,-91.7932547342806,-110.15919135305963,18.36593661877903,1
2022-06-29,915.67,-89.95379254435147,-106.11811159131801,16.16431904696654,1
2022-06-30,851.65,-92.59451256598118,-103.41339178625066,10.81887922026948,1
2022-07-01,877.19,-91.57086571607897,-101.04488657221633,9.474020856137358,1
2022-07-02,878.19,-89.64554848933415,-98.7650189556399,9.119470466305756,1
